PAIS,SEXO,AÑO,OBS_VALUE,OECD
Slovak Republic,Male,2023,74.7,NO
Slovak Republic,Male,2022,73.6,NO
Slovak Republic,Male,2021,71.2,NO
Slovak Republic,Male,2020,73.5,NO
Slovak Republic,Male,2019,74.3,NO
Slovak Republic,Male,2018,73.9,NO
Slovak Republic,Male,2017,73.8,NO
Slovak Republic,Male,2016,73.8,NO
Slovak Republic,Male,2015,73.1,NO
Slovak Republic,Female,2023,81.5,NO
Slovak Republic,Female,2022,80.5,NO
Slovak Republic,Female,2021,78.2,NO
Slovak Republic,Female,2020,80.4,NO
Slovak Republic,Total,2023,78.1,NO
Slovak Republic,Total,2022,77,NO
Slovak Republic,Total,2021,74.6,NO
Slovak Republic,Total,2020,77,NO
Slovenia,Total,2018,81.5,NO
Slovenia,Total,2017,81.2,NO
Slovenia,Total,2016,81.2,NO
Slovenia,Female,2019,84.5,NO
Slovenia,Female,2018,84.4,NO
Slovenia,Female,2017,84,NO
Slovenia,Female,2016,84.3,NO
Slovenia,Female,2015,83.9,NO
Slovenia,Total,2015,80.9,NO
Slovenia,Male,2023,79.1,NO
Slovenia,Male,2022,78.6,NO
